project_id,risk_overall,risk_environment_and_social,risk_fiduciary,risk_institutional_capacity,risk_macroeconomic,risk_political_and_governance,risk_sector_strategies_and_policies,risk_stakeholders,risk_technical_design,risk_rating_sequence
P150394,3,2,3,3,1,3,1,3,2,4
P150395,3,3,2,2,1,2,3,2,3,5
P150402,2,2,1,2,2,3,2,2,3,5
P150430,3,1,3,3,2,2,2,1,3,5
P150481,3,3,3,4,4,4,4,2,4,7
P150520,3,2,2,3,3,3,2,2,2,6
P150572,3,2,3,3,3,3,3,3,2,3
P150631,3,2,4,3,2,4,1,3,3,2
P150634,3,2,2,3,1,3,3,2,3,3
P150696,3,2,3,3,2,2,2,2,3,4
P150754,3,2,2,3,3,4,3,2,2,5
P150827,3,1,3,4,2,3,2,1,2,5
P150844,3,3,3,3,1,1,1,2,2,3
P150922,2,2,2,3,2,2,2,2,2,3
P150929,3,3,3,3,3,3,3,2,2,4
P150930,3,2,2,3,2,2,1,3,3,5
P150938,2,2,2,2,2,4,2,1,2,4
P151058,3,2,3,3,2,3,3,3,2,3
P151059,3,2,3,3,2,3,3,2,3,4
P151077,3,3,2,3,2,2,3,2,3,3
P151083,4,4,4,3,3,4,3,4,3,4
P151089,4,2,3,3,4,4,3,3,3,3
P151102,3,2,3,3,2,3,3,1,1,3
P151157,3,2,2,2,2,2,1,3,3,6
P151215,3,3,3,3,4,4,3,3,3,5
P151318,3,3,3,3,2,3,2,3,2,4
P151363,4,2,4,4,2,4,3,4,3,3
P151416,2,4,1,2,3,3,2,2,3,4
P151425,3,2,4,4,3,3,3,2,4,4
P151439,3,3,4,2,4,3,3,2,2,4
P151442,3,1,3,3,3,3,3,3,3,2
P151447,3,1,3,2,4,3,3,1,2,5
P151451,3,2,3,3,2,2,2,2,3,4
P151469,3,2,3,3,2,3,4,3,3,3
P151492,4,1,4,3,4,3,2,3,3,3
P151544,2,2,1,1,1,1,1,1,2,7
P151712,2,3,3,2,2,3,2,3,2,3
P151744,3,2,2,3,1,1,2,1,3,2
P151754,3,2,2,2,2,2,2,2,3,5
P151760,3,3,2,2,2,2,2,3,3,5
P151777,3,3,2,3,2,2,3,3,3,5
P151780,3,3,2,3,2,2,2,3,3,5
P151785,4,2,3,4,1,4,3,3,2,3
P151816,2,1,2,1,2,3,2,1,2,4
P151831,3,1,4,4,2,3,1,2,3,2
P151832,3,2,3,3,2,3,1,2,2,2
P151847,3,2,3,4,2,3,2,2,2,3
P151869,3,2,3,3,4,4,3,3,2,3
P151916,3,2,4,3,2,2,3,2,3,4
P151934,3,1,3,3,2,3,2,2,2,4
P151963,3,3,3,3,4,3,2,2,2,4
P151972,3,1,3,3,2,2,2,3,2,5
P152018,1,2,1,1,1,1,1,2,1,4
P152039,2,1,2,2,2,1,2,1,3,4
P152096,3,3,4,3,4,3,3,3,3,3
P152104,3,2,3,3,3,3,3,3,3,4
P152130,3,1,4,4,3,3,3,2,4,4
P152136,2,1,2,2,2,2,1,2,2,5
P152210,3,1,2,3,1,1,1,2,3,5
P152241,4,2,4,4,4,4,2,3,3,3
P152309,4,3,4,3,2,3,2,4,3,4
P152358,4,2,4,4,4,3,3,4,3,3
P152359,4,3,4,4,4,4,3,2,3,8
P152394,3,2,3,4,2,4,2,3,3,3
P152398,4,2,2,4,4,4,3,3,2,3
P152441,3,1,3,3,3,3,2,1,3,3
P152512,4,2,4,4,3,4,2,3,3,4
P152625,3,2,3,3,3,2,3,3,3,3
P152646,3,1,3,3,2,4,2,1,3,5
P152653,2,1,2,2,1,2,2,1,1,4
P152659,4,2,2,4,4,3,4,1,2,3
P152799,2,1,3,3,2,3,1,1,3,4
P152851,3,3,3,4,2,2,2,1,3,3
P152898,4,1,3,4,2,4,3,2,1,5
P152903,3,3,3,3,2,4,3,3,3,4
P152910,3,2,3,3,3,3,3,2,3,2
P152932,3,1,3,3,3,4,2,2,2,3
P152936,4,3,4,4,2,4,4,3,4,4
P153064,3,2,3,3,3,2,3,2,3,3
P153085,4,3,3,4,3,4,3,2,2,4
P153268,2,1,2,3,1,2,2,2,2,3
P153277,3,2,3,3,2,3,1,1,3,2
P153338,2,1,2,2,2,2,2,2,2,3
P153420,3,3,3,3,3,3,3,2,2,3
P153437,2,2,3,3,2,2,3,2,3,3
P153487,3,1,3,3,1,2,2,3,1,3
P153702,3,1,3,4,1,3,3,1,2,3
P153743,3,2,3,3,1,2,3,1,1,3
P153744,3,2,3,3,1,3,3,2,3,3
P154036,3,2,3,3,2,3,3,2,3,4
P154114,3,3,3,4,3,4,3,3,2,3
P154149,4,1,3,4,3,4,4,4,3,5
P154219,2,1,2,2,2,2,3,2,2,3
P154263,2,2,3,3,2,3,2,3,2,3
P154278,4,3,3,3,2,3,2,4,4,4
P154387,3,2,3,3,2,2,3,2,3,3
P154464,2,1,2,2,2,2,1,1,1,4
P154523,2,2,3,3,1,2,2,1,2,3
P154524,2,1,2,2,3,3,2,2,2,2
P154577,3,2,3,3,2,4,3,2,2,3
P154803,3,2,3,3,3,3,2,2,2,5
P154839,3,2,3,3,2,2,3,2,3,4
P154840,3,2,3,3,2,2,3,2,3,4
P154847,3,3,3,2,1,2,2,2,2,4
P154861,3,2,3,2,4,3,2,2,2,4
P154875,4,1,4,3,4,3,3,3,3,3
P154990,3,3,3,3,1,2,3,3,3,3
P155097,3,2,3,3,2,2,3,2,3,4
P155121,3,1,3,3,3,3,2,3,2,3
P155256,3,1,3,3,2,2,3,2,1,5
P155257,3,1,3,3,2,2,3,2,1,5
P155542,3,1,3,3,2,2,3,2,3,5
P155658,3,2,3,3,2,2,2,3,3,2
P155732,4,3,4,3,3,4,2,4,3,5
P155947,3,2,4,3,3,3,3,2,3,4
P155969,3,3,4,3,1,3,2,3,3,4
P156001,3,1,3,3,3,3,3,3,2,3
P156021,2,2,2,2,2,2,2,2,2,3
P156257,4,2,4,3,3,4,3,3,2,3
P156363,3,1,3,3,1,1,1,2,3,4
P156505,3,3,3,3,2,3,2,1,2,3
P156559,2,2,2,2,4,3,3,3,2,3
P156679,3,1,3,3,2,2,2,2,3,3
P157291,3,3,4,3,3,3,3,3,3,2
P157324,3,3,4,3,4,3,2,2,3,3
P157691,2,1,1,1,2,2,2,1,1,3
