project_id,risk_overall,risk_environment_and_social,risk_fiduciary,risk_institutional_capacity,risk_macroeconomic,risk_political_and_governance,risk_sector_strategies_and_policies,risk_stakeholders,risk_technical_design,risk_rating_sequence
P111795,2,1,2,2,2,2,2,3,2,14
P111840,3,2,3,3,3,3,2,2,2,14
P111942,2,1,1,2,3,2,2,1,2,9
P112033,2,1,2,3,1,2,2,1,1,17
P112073,3,1,1,2,3,3,3,2,2,11
P112074,2,2,3,3,3,2,2,2,2,11
P112158,4,4,4,4,1,4,1,2,2,11
P112526,2,1,3,2,2,3,1,2,1,13
P112600,3,1,3,4,1,4,2,3,4,18
P112611,3,2,4,4,2,4,2,1,2,9
P112613,3,2,4,4,2,3,2,2,3,7
P112615,2,2,3,3,2,2,1,2,2,11
P112626,1,1,2,1,1,1,1,1,1,12
P112684,2,1,2,3,1,1,1,3,3,17
P112712,1,1,2,1,1,1,1,2,1,19
P112719,3,2,3,3,1,3,2,1,2,13
P112780,2,1,1,2,2,2,2,2,1,11
P112838,3,1,2,3,2,1,4,1,2,11
P112872,4,1,4,3,3,4,4,3,2,14
P112901,2,2,2,2,4,4,2,2,2,10
P112902,2,2,2,1,1,2,1,1,1,12
P113078,2,2,2,3,1,1,1,1,2,10
P113102,4,1,3,3,4,4,3,2,1,16
P113145,2,2,1,2,1,2,2,1,1,12
P113151,2,2,2,2,2,2,2,2,3,10
P113167,1,1,2,2,1,2,2,1,1,11
P113184,2,1,2,3,2,1,1,2,1,10
P113266,4,4,4,4,4,4,4,4,2,8
P113273,1,1,1,1,2,2,1,2,1,11
P113349,2,2,2,2,2,3,2,2,2,13
P113350,3,1,2,3,2,3,2,3,2,9
P113416,3,3,2,4,3,2,2,2,2,15
P113421,3,1,3,3,3,3,3,3,2,12
P113435,2,1,3,3,2,3,2,3,2,10
P113488,2,2,2,2,2,2,2,1,2,11
P113493,2,1,2,2,2,2,2,2,2,11
P113542,4,2,3,3,2,3,4,2,2,13
P113586,4,1,4,4,4,4,1,4,3,13
P113629,3,2,3,4,1,3,1,2,3,6
P113794,2,2,2,2,2,3,2,2,3,8
P113844,3,3,2,1,2,2,1,3,2,10
P113904,2,2,2,2,2,1,1,1,2,11
P113971,2,2,2,1,2,3,2,1,2,5
P114042,3,1,2,3,3,3,2,1,2,11
P114069,3,2,2,3,2,1,1,1,2,11
P114077,3,3,2,2,2,3,3,2,1,11
P114204,2,1,2,3,3,3,1,1,3,13
P114236,2,1,3,2,2,2,2,2,1,13
P114264,3,3,3,2,2,2,2,2,1,10
P114294,3,3,2,3,2,2,2,3,2,4
P114338,3,3,2,2,1,1,2,1,1,14
P114348,2,2,2,3,1,2,2,1,2,11
P114827,2,2,1,2,2,1,1,1,2,8
P114841,4,1,1,4,1,2,1,2,3,11
P114859,3,2,3,3,2,3,3,2,3,8
P114931,1,1,1,1,3,1,1,2,1,14
P114949,3,3,3,4,2,3,4,3,3,7
P114963,2,2,2,2,1,2,2,2,2,10
P114971,2,2,1,3,1,3,3,1,1,13
P114987,2,2,2,3,2,2,2,1,2,10
P115247,1,1,1,2,3,2,1,1,1,13
P115351,3,2,3,3,1,2,2,3,2,10
P115386,4,3,3,4,4,3,4,3,4,12
P115464,2,1,1,2,3,1,2,2,1,9
P115561,2,3,2,2,1,1,1,2,2,9
P115566,1,1,1,1,1,1,2,2,2,16
P115592,3,2,3,3,3,4,3,2,2,13
P115695,3,1,1,2,3,1,1,1,3,12
P115761,2,2,2,2,1,1,1,2,2,6
P115763,2,2,1,2,1,1,2,2,2,7
P115767,3,2,3,2,3,4,3,2,2,12
P115886,2,2,2,2,2,2,2,2,2,12
P115893,3,3,3,2,2,3,3,3,2,11
P115954,3,2,2,3,2,2,2,2,3,10
P116170,2,2,1,2,1,2,2,1,2,14
P116194,2,2,2,2,2,2,2,1,1,14
P116199,3,2,2,2,2,4,2,2,1,11
P116230,3,3,3,4,1,2,1,3,3,7
P116323,3,2,3,3,2,4,2,4,2,9
P116398,2,3,3,1,2,2,3,1,1,12
P116410,4,3,2,4,3,2,3,4,4,13
P116602,3,3,3,3,2,3,2,2,2,11
P116696,3,1,2,2,3,3,3,2,2,12
P116748,2,3,2,3,3,2,2,1,1,9
P117082,3,3,3,3,2,3,2,3,3,15
P117103,3,2,3,2,3,4,3,2,2,14
P117157,1,1,2,2,1,1,1,1,1,12
P117242,3,1,1,2,3,3,2,2,2,14
P117243,3,1,2,3,2,2,3,1,2,9
P117275,3,2,2,3,4,4,4,2,3,14
P117293,2,2,1,2,1,2,2,1,2,12
P117318,4,4,2,4,1,3,2,4,4,9
P117323,2,3,2,3,2,2,2,1,2,12
P117341,3,4,2,2,1,1,1,2,1,7
P117355,4,3,2,2,2,2,2,1,1,12
P117365,3,2,2,1,3,4,2,1,1,13
P117394,3,1,2,3,2,2,2,3,3,8
P117407,2,2,1,2,3,2,2,1,2,8
P117443,4,1,3,3,4,4,3,3,2,13
P117449,4,4,4,4,3,4,3,3,4,4
P117596,3,1,2,2,1,2,2,3,3,10
P117617,3,2,3,4,3,3,2,2,3,11
P117635,3,3,3,3,2,3,2,3,2,7
P117656,2,2,2,1,1,1,1,2,2,11
P117731,4,4,2,2,2,2,2,3,2,8
P117745,3,2,3,2,3,2,2,2,2,15
P117764,3,2,3,3,2,3,3,2,2,9
P117871,2,4,3,2,2,1,1,1,2,11
P117947,3,2,1,3,1,1,2,2,3,12
P118018,3,2,3,2,2,3,2,3,3,10
P118023,3,2,2,3,3,2,2,2,3,16
P118028,3,1,4,3,3,4,3,3,3,10
P118045,2,2,2,2,3,2,2,2,2,13
P118053,3,2,3,3,3,4,2,2,2,10
P118064,2,1,1,1,2,1,2,1,2,11
P118109,3,3,2,3,2,3,2,3,2,12
P118150,1,1,1,2,1,1,1,1,1,12
P118177,3,2,2,2,3,3,3,2,2,10
P118187,3,1,3,3,2,3,3,2,1,13
P118196,3,2,3,4,3,3,3,2,2,11
